Date,Open,High,Low,Close,Adj Close,Volume
2003-12-01,1.723811,1.727205,1.718390,1.718597,1.718597,0
2003-12-02,1.719010,1.732112,1.717298,1.730313,1.730313,0
2003-12-03,1.730493,1.731812,1.725209,1.728101,1.728101,0
2003-12-04,1.727414,1.728997,1.718302,1.720697,1.720697,0
2003-12-05,1.720608,1.733102,1.719809,1.733102,1.733102,0
2003-12-08,1.729505,1.736202,1.727504,1.734214,1.734214,0
2003-12-09,1.733703,1.747793,1.733613,1.745414,1.745414,0
2003-12-10,1.745292,1.748007,1.735900,1.739796,1.739796,0
2003-12-11,1.740008,1.747702,1.737891,1.746206,1.746206,0
2003-12-12,1.746298,1.751099,1.744287,1.747305,1.747305,0
2003-12-15,1.739403,1.748588,1.738889,1.747305,1.747305,0
2003-12-16,1.747213,1.756111,1.744014,1.754201,1.754201,0
2003-12-17,1.754201,1.769097,1.750394,1.765506,1.765506,0
2003-12-18,1.765412,1.774812,1.763793,1.771009,1.771009,0
