Date,Open,High,Low,Close,Adj Close,Volume
2011-11-01,56.772857666015625,57.07143020629883,56.174285888671875,56.644287109375,49.1695442199707,132947500
2011-11-02,57.15571594238281,57.20571517944336,56.44428634643555,56.772857666015625,49.28116226196289,81837700
2011-11-03,57.0099983215332,57.628570556640625,56.47999954223633,57.58142852783203,49.98302459716797,110346600
2011-11-04,57.432857513427734,57.63428497314453,57.022857666015625,57.17714309692383,49.63209915161133,75557300
2011-11-07,57.130001068115234,57.14285659790039,56.59000015258789,57.104286193847656,49.56884765625,67568900
2011-11-08,57.45857238769531,58.28571319580078,57.36571502685547,58.03285598754883,50.3748893737793,100110500
2011-11-09,56.709999084472656,57.27000045776367,56.318572998046875,56.468570709228516,49.01701736450195,139671000
2011-11-10,56.718570709228516,56.744285583496094,54.592857360839844,55.031429290771484,47.7695198059082,186188100
2011-11-11,55.22999954223633,55.52857208251953,54.32285690307617,54.94571304321289,47.69512939453125,163446500
2011-11-14,54.788570404052734,55.03571319580078,54.02857208251953,54.18000030517578,47.030452728271484,108226300
2011-11-15,54.400001525878906,55.64285659790039,54.2071418762207,55.547142028808594,48.21718978881836,107702700
2011-11-16,55.60714340209961,55.87714385986328,54.90285873413086,54.96714401245117,47.71371078491211,87302600
2011-11-17,54.854286193847656,54.939998626708984,53.64285659790039,53.915714263916016,46.8010368347168,119975100
2011-11-18,54.13142776489258,54.28428649902344,53.55428695678711,53.56285858154297,46.494747161865234,92984500
2011-11-21,52.91428756713867,53.09714126586914,52.272857666015625,52.71571350097656,45.7593994140625,111995100
2011-11-22,53.00285720825195,53.9900016784668,52.99142837524414,53.78714370727539,46.68943786621094,102255300
2011-11-23,53.501426696777344,53.691429138183594,52.41143035888672,52.42714309692383,45.5088996887207,107067800
2011-11-25,52.63142776489258,53.021427154541016,51.90285873413086,51.93857192993164,45.084800720214844,63690200
2011-11-28,53.19285583496094,53.817142486572266,52.9042854309082,53.73143005371094,46.64107131958008,86603300
2011-11-29,53.691429138183594,54.11857223510742,52.88571548461914,53.31428527832031,46.27897644042969,93963800
2011-11-30,54.470001220703125,54.611427307128906,54.0428581237793,54.599998474121094,47.39502716064453,101484600
2011-12-01,54.6485710144043,55.57143020629883,54.39285659790039,55.41857147216797,48.10558319091797,96795300
2011-12-02,55.689998626708984,56.23285675048828,55.51142883300781,55.67142868041992,48.3250732421875,94763900
2011-12-05,56.21285629272461,56.630001068115234,55.77000045776367,56.144287109375,48.735530853271484,89302500
2011-12-06,56.07285690307617,56.37571334838867,55.62571334838867,55.849998474121094,48.48008346557617,70899500
2011-12-07,55.70428466796875,55.84857177734375,55.251426696777344,55.584285736083984,48.24942398071289,76186600
2011-12-08,55.92142868041992,56.5,55.74714279174805,55.808570861816406,48.44411849975586,94089100
2011-12-09,56.121429443359375,56.29142761230469,55.861427307128906,56.23143005371094,48.811180114746094,74248300
2011-12-12,55.95428466796875,56.271427154541016,55.63571548461914,55.977142333984375,48.5904426574707,75266800
2011-12-13,56.14285659790039,56.485713958740234,55.29999923706055,55.54428482055664,48.2147102355957,84732200
2011-12-14,55.24285888671875,55.34000015258789,53.95428466796875,54.31285858154297,47.145782470703125,101721900
2011-12-15,54.76142883300781,54.81999969482422,54.04428482055664,54.13428497314453,46.99078369140625,64050000
